keyword,major_count,majors,major_groups,primary_cluster,primary_cluster_label,recommended_subject_groups,preferred_methods,preferred_outputs,preferred_report_modes,assessment_focus,topic_noun,recommended_evidence,route_confidence
주파수 개념,1,전자공학,AI·SW·전자,core_principles,원리·구조,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
주파수 제어,1,전자공학,AI·SW·전자,core_principles,원리·구조,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
죽음과 삶,1,간호학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
줄기세포,1,생명공학,생명·의료·생활,bio_medical,생명·의료,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"구조와 기능의 관계, 생명 기전, 건강·의료 적용을 분석",생명 기전과 적용,기전 흐름도·사례 자료,medium
중국 역사 경관,1,조경학과,기계·모빌리티·건설,space_architecture_landscape,공간·건축·도시·조경,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,공간 구조와 사용자·환경 조건이 기능과 경험에 미치는 영향 평가,공간 구조와 사용자 조건,공간 비교도·환경 지표,medium
중국의 전통 가옥,1,건축학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중국패션,1,의류의상학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중금속,1,화학공학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중력법칙,1,물리학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
중력이 한 일,1,물리학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중목 구조,1,건축학과,기계·모빌리티·건설,core_principles,원리·구조,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
중선정리,1,수학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중세 건축,1,건축학과,기계·모빌리티·건설,space_architecture_landscape,공간·건축·도시·조경,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,공간 구조와 사용자·환경 조건이 기능과 경험에 미치는 영향 평가,공간 구조와 사용자 조건,공간 비교도·환경 지표,medium
중심원리,1,생명공학,생명·의료·생활,core_principles,원리·구조,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
중심지,1,도시공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중앙대,1,수행,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중앙처리장치 CPU,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중증근무력증,1,물리치료,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중착&이온주입 공정,1,반도체 세라믹공학,AI·SW·전자,design_manufacturing,설계·제작·공정,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
중학생 의복,1,의류의상학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
중합체,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
증강현실,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
증산 작용,1,산림원예,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
증폭기,1,전자공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지구과학1,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지구온난호,1,지구과학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지구온난화,1,수산학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지능메카트로닉스,1,기계전자(메카트로닉스),기계·모빌리티·건설,control_systems,제어·자동화·로봇,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,입력-판단-제어-피드백 구조와 조건별 반응 차이 분석,제어와 피드백,시스템 흐름도·조건별 반응,medium
지능형네트워크,1,정보통신공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
지능형로봇,1,기계전자(메카트로닉스),기계·모빌리티·건설,control_systems,제어·자동화·로봇,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,입력-판단-제어-피드백 구조와 조건별 반응 차이 분석,제어와 피드백,시스템 흐름도·조건별 반응,medium
지리정보 시스템,1,산림원예,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지문인식 시스템,1,정보통신공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지반안전,1,안전공학,안전·환경,safety_environment,안전·환경·지속가능,과학 | 사회 | 수학,자료해석형 | 조사탐구형 | 문제해결형,자료분석지 | 탐구보고서 | 정책제안서,자료해석형 | 사회문제분석형 | 정책제안형,위험·환경 지표를 기준으로 원인과 개선 효과를 검증,안전성과 지속가능성,위험도·환경성 지표,medium
지방자치,1,도시공학,기계·모빌리티·건설,human_society_policy,사회·정책·사용자,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"이해관계, 영향, 판단 기준과 제도적 해결 방안을 분석",사회적 영향과 정책 기준,사례·통계·정책 비교,medium
지속가능한 개발과 생태조경,1,조경학과,기계·모빌리티·건설,safety_environment,안전·환경·지속가능,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,위험·환경 지표를 기준으로 원인과 개선 효과를 검증,안전성과 지속가능성,위험도·환경성 지표,medium
지역사회,2,도시공학 | 물리치료,기계·모빌리티·건설 | 생명·의료·생활,human_society_policy,사회·정책·사용자,과학 | 수학 | 정보 | 사회,프로젝트형 | 자료해석형 | 보고서작성형 | 실험실습형 | 조사탐구형,설계보고서 | 탐구보고서 | 발표자료 | 실험보고서 | 자료분석지,공학설계형 | 원리적용형 | 자료해석형 | 실험분석형 | 연구보고서형,"이해관계, 영향, 판단 기준과 제도적 해결 방안을 분석",사회적 영향과 정책 기준,사례·통계·정책 비교,high
지용성 비타민,1,식품영양학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지진,1,지구과학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지진과 응급구고,1,응급구조학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지진파,1,지구과학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지질,1,식품영양학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지질구조,1,토목공학,기계·모빌리티·건설,core_principles,원리·구조,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
지층 누중의 원칙,1,지구과학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지하수위와 지반함몰,1,토목공학,기계·모빌리티·건설,space_architecture_landscape,공간·건축·도시·조경,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,공간 구조와 사용자·환경 조건이 기능과 경험에 미치는 영향 평가,공간 구조와 사용자 조건,공간 비교도·환경 지표,medium
지하수의 소류력,1,토목공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지하수의 투수계수,1,토목공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
지하저유조의 환경오염,1,환경공학,기타,safety_environment,안전·환경·지속가능,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,위험·환경 지표를 기준으로 원인과 개선 효과를 검증,안전성과 지속가능성,위험도·환경성 지표,medium
지하철화재,1,안전공학,안전·환경,safety_environment,안전·환경·지속가능,과학 | 사회 | 수학,자료해석형 | 조사탐구형 | 문제해결형,자료분석지 | 탐구보고서 | 정책제안서,자료해석형 | 사회문제분석형 | 정책제안형,위험·환경 지표를 기준으로 원인과 개선 효과를 검증,안전성과 지속가능성,위험도·환경성 지표,medium
지형정보시스템,1,토목공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
직물 디자인,1,의류의상학,기타,design_manufacturing,설계·제작·공정,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
직접 분사식 가솔린 엔진(GDI),1,자동차공학,기계·모빌리티·건설,energy_mobility_space,에너지·모빌리티·우주,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"에너지 전환, 효율, 시스템 안정성과 적용 조건을 비교",에너지 전환과 효율,효율·조건 비교 자료,medium
직접 분사식 디젤 엔진(CRDI),1,자동차공학,기계·모빌리티·건설,energy_mobility_space,에너지·모빌리티·우주,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"에너지 전환, 효율, 시스템 안정성과 적용 조건을 비교",에너지 전환과 효율,효율·조건 비교 자료,medium
진공관,1,전자공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
진공채혈관,1,임상병리,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
진단시약,1,임상병리,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
진동,1,물리학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
진로,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
진로 시간에 통계학 전공 교수와 인터뷰 진행,1,통계학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
진로탐색,2,지능형 반도체 | 화학과,AI·SW·전자 | 기타,other,기타·직접검토,정보 | 수학 | 과학 | 사회 | 국어 | 영어,프로그래밍구현형 | 자료해석형 | 프로젝트형 | 보고서작성형 | 조사탐구형,프로그램 | 탐구보고서 | 발표자료 | 자료분석지,프로그래밍구현형 | 자료해석형 | 공학설계형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,medium
진로탐색 수업에서 데이터 사이언스 관련 진로 발표,1,지능형 데이터 최적학과,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
진료용 일반장비,1,의료공학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
진화,1,수의학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
질문지법,1,통계학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
질병 예방,1,수의학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
질병예방,1,식품공학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
질소산화물,1,천문기상학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
집단작업치료,1,물리치료,생명·의료·생활,bio_medical,생명·의료,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"구조와 기능의 관계, 생명 기전, 건강·의료 적용을 분석",생명 기전과 적용,기전 흐름도·사례 자료,medium
집적도,1,전자공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
집적회로,3,반도체 세라믹공학 | 전자공학 | 지능형 반도체,AI·SW·전자,core_principles,원리·구조,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,high
집합,1,수학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
차동기어장치,1,자동차공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
차량에 대한 규제 가스,1,자동차공학,기계·모빌리티·건설,human_society_policy,사회·정책·사용자,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"이해관계, 영향, 판단 기준과 제도적 해결 방안을 분석",사회적 영향과 정책 기준,사례·통계·정책 비교,medium
차세대 로켓엔진 (과산화수소&메탄),1,항공학과,기계·모빌리티·건설,energy_mobility_space,에너지·모빌리티·우주,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"에너지 전환, 효율, 시스템 안정성과 적용 조건을 비교",에너지 전환과 효율,효율·조건 비교 자료,medium
차세대 메모리,1,신소재공학,신소재·에너지·산업,materials_devices,소재·부품,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,소재 또는 부품의 특성이 성능·안정성·효율에 미치는 영향 비교,소재 특성과 성능,물성·성능 비교표,medium
창의성,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
채광,1,건축설비,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
